,Date,Post patch?,PCR cycles,Cre_line
5660,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5661,2017-06-20,No-Seal,21.0,Slc32a1-IRES-Cre
5662,2017-06-20,No-Seal,21.0,Slc32a1-IRES-Cre
5663,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5666,2017-06-20,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5667,2017-06-20,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5668,2017-06-20,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5669,2017-06-20,No-Seal,21.0,Slc32a1-IRES-Cre
5670,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5671,2017-06-20,No-Seal,21.0,Slc32a1-IRES-Cre
5672,2017-06-20,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5675,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5676,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5677,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5678,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5687,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5688,2017-06-21,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5689,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5690,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5691,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5692,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5695,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5696,2017-06-21,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5697,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5698,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5699,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5702,2017-06-21,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5703,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5704,2017-06-21,No-Seal,21.0,Slc32a1-IRES-Cre
5705,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5706,2017-06-21,Nucleated,21.0,Slc32a1-IRES-Cre
5713,2017-06-22,Nucleated,21.0,Slc32a1-IRES-Cre
5714,2017-06-22,No-Seal,21.0,Slc32a1-IRES-Cre
